Categorization System,,,,,
0 North America,,,,,
,00 Americana,,,,
,,,,020.02 Grill,
,,,,020.03 Pressure Cook,
,,,,020.04 Slow Cooker,
,,,,020.05 Sous Vide,
,,,020.2 Wing,,
,,,,020.00 Oven,
,,,,020.01 Stovetop,
,,,,020.02 Grill,
,,,,020.03 Pressure Cook,
,,,,020.04 Slow Cooker,
,,,,020.05 Sous Vide,
,,,020.3 Drumstick,,
,,,,020.00 Oven,
,,,,020.01 Stovetop,
,,,,020.02 Grill,
,,,,020.03 Pressure Cook,
,,,,020.04 Slow Cooker,
,,,,020.05 Sous Vide,
,,,020.4 Ground,,
,,,,020.00 Oven,
,,,,020.01 Stovetop,
,,,,020.02 Grill,
,,,,020.03 Pressure Cook,
,,,,020.04 Slow Cooker,
,,,,020.05 Sous Vide,
,,021 Beef,,,
,,,021.1 Skirt/Flank,,
,,,,021.10 Oven,
,,,,021.11 Stovetop,
,,,,021.12 Grill,
,,,,021.13 Pressure Cook,
,,,,021.14 Slow Cooker,
,,,,021.15 Sous Vide,
,,,021.2 Brisket,,
,,,,021.20 Oven,
,,,,021.21 Stovetop,
,,,,021.22 Grill,
,,,,021.23 Pressure Cook,
,,,,021.24 Slow Cooker,
,,,,021.25 Sous Vide,
,,,021.3 Round,,
,,,,021.30 Oven,
,,,,021.31 Stovetop,
,,,,021.32 Grill,
,,,,021.33 Pressure Cook,
,,,,021.34 Slow Cooker,
,,,,021.35 Sous Vide,
,,,021.4 Ground,,
,,,,021.40 Oven,
,,,,021.41 Stovetop,
,,,,021.42 Grill,
,,,,021.43 Pressure Cook,
,,,,021.44 Slow Cooker,
,,,,021.45 Sous Vide,
,,,021.5 Chuck,,
,,,,021.50 Oven,
,,,,021.51 Stovetop,
,,,,021.52 Grill,
,,,,021.53 Pressure Cook,
,,,,021.54 Slow Cooker,
,,,,021.55 Sous Vide,
,,,021.6 Loin,,
,,,,021.60 Oven,
,,,,021.61 Stovetop,
,,,,021.62 Grill,
,,,,021.63 Pressure Cook,
,,,,021.64 Slow Cooker,
,,,,021.65 Sous Vide,
,,022 Pork,,,
,,,022.0 Butt/Shoulder,,
,,,,022.00 Oven,
,,,,022.01 Stovetop,
,,,,022.02 Grill,
,,,,022.03 Pressure Cook,
